iter	Logloss
0	0.6880265685
1	0.6827735604
2	0.6787939016
3	0.6741429933
4	0.6729752967
5	0.6716204564
6	0.6682166168
7	0.6652532743
8	0.6638679812
9	0.6614854473
10	0.659145771
11	0.6586633072
12	0.6579511043
13	0.6564268063
14	0.6546016096
15	0.6530969837
16	0.6512277126
17	0.6508644681
18	0.6497499385
19	0.6495090075
20	0.6488973894
21	0.6474360804
22	0.6459693053
23	0.6450855339
24	0.6444206342
25	0.6423448868
26	0.6416221855
27	0.6405794593
28	0.6401517103
29	0.6390973507
30	0.6389028985
31	0.6387605407
32	0.6379706547
33	0.6375340642
34	0.6372573567
35	0.6372506468
36	0.6372506257
37	0.6367805121
38	0.636433301
39	0.6362820034
40	0.6362819817
41	0.6362186259
42	0.635730468
43	0.6355804091
44	0.6355332044
45	0.6344558481
46	0.6339984074
47	0.633596491
48	0.6328875165
49	0.6327981082
50	0.6326344248
51	0.632562314
52	0.6316675937
53	0.6315100257
54	0.6312390616
55	0.6298213114
56	0.629748014
57	0.6296501393
58	0.6295264513
59	0.6295102915
60	0.6292278357
61	0.6290433872
62	0.6290433461
63	0.6289216159
64	0.6287917149
65	0.6275569987
66	0.62753404
67	0.6273075805
68	0.6271954755
69	0.6269694335
70	0.6267644234
71	0.6266441412
72	0.6257196596
73	0.6254921646
74	0.6245139369
75	0.6241096497
76	0.6236908682
77	0.623402382
78	0.6229751779
79	0.6226941906
80	0.6225351275
81	0.6220843789
82	0.621754536
83	0.6212889443
84	0.621154903
85	0.6205965511
86	0.62043324
87	0.6203741462
88	0.6197940019
89	0.6189553866
90	0.6183749862
91	0.6182776332
92	0.6179378175
93	0.6172044072
94	0.617198829
95	0.6167651736
96	0.6157345953
97	0.615354925
98	0.615171153
99	0.6151248847
