iter	Passed	Remaining
0	237	23541
1	254	12467
2	270	8754
3	286	6887
4	303	5759
5	318	4996
6	335	4455
7	351	4047
8	361	3659
9	385	3467
10	401	3247
11	413	3034
12	422	2828
13	444	2731
14	465	2637
15	484	2543
16	502	2451
17	515	2350
18	535	2281
19	550	2201
20	571	2148
21	588	2086
22	606	2030
23	627	1986
24	646	1939
25	663	1889
26	679	1838
27	695	1789
28	707	1733
29	724	1689
30	740	1647
31	752	1598
32	772	1568
33	792	1538
34	812	1509
35	827	1471
36	833	1418
37	849	1385
38	865	1353
39	881	1321
40	889	1280
41	898	1240
42	914	1212
43	924	1176
44	932	1140
45	948	1113
46	965	1088
47	983	1065
48	999	1040
49	1016	1016
50	1032	992
51	1045	964
52	1061	941
53	1077	917
54	1094	895
55	1116	877
56	1130	852
57	1139	825
58	1156	803
59	1172	781
60	1189	760
61	1202	736
62	1207	709
63	1223	688
64	1240	667
65	1257	647
66	1282	631
67	1309	616
68	1328	596
69	1355	581
70	1377	562
71	1406	547
72	1440	532
73	1467	515
74	1490	496
75	1517	479
76	1542	460
77	1573	443
78	1596	424
79	1616	404
80	1637	384
81	1657	363
82	1678	343
83	1698	323
84	1720	303
85	1739	283
86	1765	263
87	1780	242
88	1798	222
89	1815	201
90	1831	181
91	1852	161
92	1872	140
93	1889	120
94	1898	99
95	1915	79
96	1935	59
97	1951	39
98	1967	19
99	1983	0
